date,open,close,high,low,volume,average,barCount
2019-09-20 00:45:00,27199.0,27189.0,27206.0,27185.0,1242,27195.993333333336,644
2019-09-20 01:00:00,27189.0,27180.0,27211.0,27171.0,1773,27189.84000000001,1100
2019-09-20 01:15:00,27180.0,27180.0,27196.0,27179.0,1229,27186.76666666667,762
2019-09-20 01:30:00,27179.0,27143.0,27184.0,27125.0,4902,27151.62000000001,2785
2019-09-20 01:45:00,27143.0,27174.0,27174.0,27142.0,1756,27161.146666666664,1048
2019-09-20 02:00:00,27172.0,27167.0,27180.0,27160.0,1274,27167.67333333333,738
2019-09-20 02:15:00,27166.0,27155.0,27174.0,27149.0,1243,27160.88,705
2019-09-20 02:30:00,27156.0,27136.0,27156.0,27130.0,1810,27140.579999999994,992
2019-09-20 02:45:00,27135.0,27133.0,27139.0,27115.0,1874,27127.31333333333,1040
2019-09-20 03:00:00,27133.0,27117.0,27143.0,27106.0,2457,27123.493333333336,1419
2019-09-20 03:15:00,27117.0,27125.0,27140.0,27112.0,1845,27130.57333333333,1121
2019-09-20 03:30:00,27124.0,27108.0,27125.0,27083.0,4860,27105.73333333333,2579
2019-09-20 03:45:00,27108.0,27084.0,27108.0,27055.0,7251,27079.32,3697
2019-09-20 04:00:00,27086.0,27080.0,27096.0,27074.0,1641,27082.81333333333,898
2019-09-20 04:30:00,27083.0,27076.0,27088.0,27074.0,344,27080.95333333333,211
2019-09-20 04:45:00,27077.0,27081.0,27088.0,27074.0,388,27080.09333333333,194
2019-09-20 06:00:00,27082.0,27090.0,27092.0,27073.0,359,27082.28666666667,208
2019-09-20 06:15:00,27091.0,27104.0,27106.0,27088.0,194,27093.32,135
2019-09-20 06:30:00,27105.0,27107.0,27110.0,27099.0,225,27104.966666666664,130
2019-09-20 06:45:00,27106.0,27102.0,27108.0,27101.0,85,27104.05333333333,57
2019-09-20 07:00:00,27102.0,27107.0,27114.0,27102.0,110,27109.28,86
2019-09-20 07:15:00,27107.0,27106.0,27111.0,27101.0,137,27105.206666666665,86
2019-09-20 07:30:00,27105.0,27111.0,27117.0,27103.0,156,27110.03333333333,114
2019-09-20 07:45:00,27110.0,27103.0,27110.0,27101.0,139,27104.68,101
2019-09-20 08:00:00,27103.0,27092.0,27104.0,27064.0,862,27084.12,551
2019-09-20 08:15:00,27091.0,27091.0,27098.0,27086.0,228,27091.29333333333,152
2019-09-20 08:30:00,27091.0,27098.0,27099.0,27069.0,389,27090.86666666667,253
2019-09-20 08:45:00,27098.0,27101.0,27102.0,27094.0,229,27097.47333333333,134
2019-09-20 09:00:00,27101.0,27107.0,27115.0,27097.0,355,27104.97333333333,216
2019-09-20 09:15:00,27109.0,27116.0,27119.0,27107.0,468,27112.87333333333,264
2019-09-20 09:30:00,27114.0,27104.0,27118.0,27102.0,348,27108.86,243
2019-09-20 09:45:00,27105.0,27100.0,27110.0,27097.0,248,27101.566666666666,179
2019-09-20 10:00:00,27098.0,27107.0,27112.0,27095.0,271,27103.68666666667,170
2019-09-20 10:15:00,27104.0,27105.0,27108.0,27098.0,147,27103.493333333336,113
2019-09-20 10:30:00,27105.0,27107.0,27111.0,27103.0,181,27106.92666666667,121
2019-09-20 10:45:00,27106.0,27103.0,27110.0,27102.0,127,27105.9,80
2019-09-20 11:00:00,27102.0,27101.0,27102.0,27095.0,164,27099.146666666664,131
